DP_NODE_ID,ORIGINATING_LINK_ID,DEST_LINK_ID,RAMP,BIF,CA,FILENAME,SIDE,SIGN_DEST,JV_ORIGIN,ISO_COUNTRY_CODE,GMS_SVG,GMS_TEMPLATE,LATITUDE,LONGITUDE,MDPS,MDPS_APPROX,TUNNEL_ORIGIN_LINK,TUNNEL_DEST_LINK,ORIGIN_BEARING,DEST_BEARING,DP2_NODE_ID
806887643,809281349,767287068,Y,N,Y,B32LB21.SVG,L,-1,-1,THA,GMS_TH.SVG,,13.76949,100.48654,Y,Y,N/A,N/A,144.3259,139.06826,806960124
806887643,809281349,802439214,Y,N,N,B32LB21.SVG,M,802439214,-1,THA,GMS_TH.SVG,SON_A,13.76949,100.48654,Y,Y,N/A,N/A,144.3259,139.06826,806960124
806887643,809281349,806507495,N,N,Y,B32LB21.SVG,R,806507495,809281349,THA,GMS_TH.SVG,SON_A,13.76989,100.48481,Y,Y,N/A,N/A,144.3259,148.403,806960124
806960124,809281352,767287068,Y,N,Y,L12.SVG,L,-1,-1,THA,GMS_TH.SVG,,13.76949,100.48654,N,N/A,N,N,51.31254,45.75644,
806960124,809281352,802439214,Y,N,N,L12.SVG,R,802439214,-1,THA,GMS_TH.SVG,SON_A,13.76949,100.48654,N,N/A,N,N,51.31254,50.3516,
865955168,809379059,802852983,Y,N,N,L32.SVG,L,802852983,809379059,THA,GMS_TH.SVG,SON_A,13.62927,100.52898,N,N/A,N,N,249.61626,242.20003,
865955168,809379059,802852985,N,N,Y,L32.SVG,R,802852985,809379059,THA,GMS_TH.SVG,SON_A,13.62927,100.52898,N,N/A,N,N,249.61626,247.24187,
812974008,809379063,809379066,Y,N,N,L42.SVG,L,809379066,809379063,THA,GMS_TH.SVG,SON_A,13.62481,100.51928,N,N/A,N,N,61.8859,35.25289,
812974008,809379063,815597160,N,N,Y,L42.SVG,R,815597160,809379063,THA,GMS_TH.SVG,SON_A,13.62481,100.51928,N,N/A,N,N,61.8859,63.79774,
865698490,809379075,802875611,Y,Y,N,B22.SVG,L,802875611,809379075,THA,GMS_TH.SVG,EXIT_A_L,13.62483,100.52384,N,N/A,N,N,243.89614,257.90089,
865698490,809379075,848913637,Y,Y,N,B22.SVG,R,848913637,809379075,THA,GMS_TH.SVG,EXIT_A_R,13.62483,100.52384,N,N/A,N,N,243.89614,273.46373,
870674039,809401047,809401046,N,N,N,L22.SVG,R,-1,809401047,THA,GMS_TH.SVG,,13.90024,100.54066,N,N/A,N,N,111.42725,111.3052,
870674039,809401047,966415459,Y,N,N,L22.SVG,L,966415459,809401047,THA,GMS_TH.SVG,SON_A,13.90024,100.54066,N,N/A,N,N,111.42725,75.55776,
812880324,809401050,734856074,N,Y,N,B32LB21.SVG,M,734856074,-1,THA,GMS_TH.SVG,EXIT_A_R,13.89794,100.54323,Y,N,N/A,N/A,256.82287,242.74795,812477412
812880324,809401050,851384474,Y,Y,N,B32LB21.SVG,R,851384474,-1,THA,GMS_TH.SVG,EXIT_A_R,13.89842,100.54437,Y,N,N/A,N/A,256.82287,261.21593,812477412
812880324,809401050,851384476,Y,Y,N,B32LB21.SVG,L,851384476,-1,THA,GMS_TH.SVG,EXIT_A_L,13.89794,100.54323,Y,N,N/A,N/A,256.82287,242.74795,812477412
870538484,809486299,824859784,N,N,Y,L32.SVG,R,824859784,809486299,THA,GMS_TH.SVG,SON_A,13.78409,100.53489,N,N/A,N,N,22.03155,21.79675,
870538484,809486299,873312443,Y,N,N,L32.SVG,L,873312443,809486299,THA,GMS_TH.SVG,SON_A,13.78409,100.53489,N,N/A,N,N,22.03155,352.62164,
818177209,809613699,850855378,Y,N,N,L22.SVG,L,850855378,-1,THA,GMS_TH.SVG,SON_A,13.88005,100.45094,N,N/A,N,N,173.97634,142.16564,
818177209,809613699,972435263,Y,N,N,L22.SVG,R,972435263,-1,THA,GMS_TH.SVG,SON_A,13.88005,100.45094,N,N/A,N,N,173.97634,174.9104,
818177261,809613703,850855364,Y,Y,N,B22.SVG,L,850855364,-1,THA,GMS_TH.SVG,EXIT_A_L,13.87334,100.45116,N,N/A,N,N,354.83964,342.06794,
818177261,809613703,850855368,Y,Y,N,B22.SVG,R,850855368,-1,THA,GMS_TH.SVG,EXIT_A_R,13.87334,100.45116,N,N/A,N,N,354.83964,355.10398,
812761971,810082184,735214210,Y,Y,N,B32.SVG,R,-1,810082184,THA,GMS_TH.SVG,,13.89953,100.54202,N,N/A,N,N,289.71355,310.64513,
812761971,810082184,735214225,N,Y,N,B32.SVG,L,-1,810082184,THA,GMS_TH.SVG,,13.89953,100.54202,N,N/A,N,N,289.71355,287.17375,
812218730,810177013,810177020,Y,Y,N,B22.SVG,L,810177020,810177013,THA,GMS_TH.SVG,EXIT_A_L,13.76585,100.19021,N,N/A,N,N,249.16851,240.47869,
812218730,810177013,848780094,Y,Y,N,B22.SVG,R,848780094,810177013,THA,GMS_TH.SVG,EXIT_A_R,13.76585,100.19021,N,N/A,N,N,249.16851,251.2115,
817973282,810177019,727182525,Y,N,N,L21.SVG,L,727182525,810177019,THA,GMS_TH.SVG,SON_A,13.76434,100.18657,N,N/A,N,N,251.36226,233.52914,
817973282,810177019,810177021,Y,N,N,L21.SVG,R,-1,810177019,THA,GMS_TH.SVG,,13.76434,100.18657,N,N/A,N,N,251.36226,250.18354,
812660695,810187708,734953348,N,N,N,L22.SVG,R,734953348,810187708,THA,GMS_TH.SVG,SON_A,13.79498,99.95431,N,N/A,N,N,253.1509,251.53298,
812660695,810187708,810187719,Y,N,N,L22.SVG,L,810187719,810187708,THA,GMS_TH.SVG,SON_A,13.79498,99.95431,N,N/A,N,N,253.1509,240.4756,
812989127,810188404,734335017,N,N,Y,L22.SVG,R,734335017,810188404,THA,GMS_TH.SVG,SON_A,14.05982,100.57995,N,N/A,N,N,355.23003,357.36779,
812989127,810188404,799563491,Y,N,N,L22.SVG,L,799563491,810188404,THA,GMS_TH.SVG,SON_A,14.05982,100.57995,N,N/A,N,N,355.23003,342.96866,
818177208,810223423,734774805,N,Y,N,B23.SVG,R,734774805,810223423,THA,GMS_TH.SVG,EXIT_A_R,13.88314,100.45071,N,N/A,N,N,176.29703,181.61181,
818177208,810223423,809613700,Y,Y,N,B23.SVG,L,809613700,810223423,THA,GMS_TH.SVG,EXIT_A_L,13.88314,100.45071,N,N/A,N,N,176.29703,174.79976,
832544353,810270934,803020592,Y,N,N,L32.SVG,L,803020592,810270934,THA,GMS_TH.SVG,SON_A,13.60885,100.6244,N,N/A,N,N,315.81571,303.31874,
832544353,810270934,961513760,N,N,Y,L32.SVG,R,961513760,810270934,THA,GMS_TH.SVG,SON_A,13.60885,100.6244,N,N/A,N,N,315.81571,318.47425,
833474712,810277935,803023580,N,N,Y,L31.SVG,R,803023580,810277935,THA,GMS_TH.SVG,SON_A,13.60914,100.65712,N,N/A,N,N,26.98077,26.68939,
833474712,810277935,828657885,Y,N,N,L31.SVG,L,828657885,810277935,THA,GMS_TH.SVG,SON_A,13.60914,100.65712,N,N/A,N,N,26.98077,14.34692,
864770732,810285977,810285971,Y,N,N,L32.SVG,L,810285971,810285977,THA,GMS_TH.SVG,SON_A,13.61869,100.66271,N,N/A,N,N,215.25363,205.18607,
864770732,810285977,876607387,N,N,Y,L32.SVG,R,876607387,810285977,THA,GMS_TH.SVG,SON_A,13.61869,100.66271,N,N/A,N,N,215.25363,216.93721,
806866330,810385566,871753905,N,N,Y,L32.SVG,R,871753905,810385566,THA,GMS_TH.SVG,SON_A,13.74276,100.60533,N,N/A,N,N,173.97282,183.96904,
806866330,810385566,871753907,Y,N,N,L32.SVG,L,871753907,810385566,THA,GMS_TH.SVG,SON_A,13.74276,100.60533,N,N/A,N,N,173.97282,172.28114,
816918913,810397394,799371646,Y,N,N,L32.SVG,L,799371646,810397394,THA,GMS_TH.SVG,SON_A,13.67747,100.60409,N,N/A,N,N,170.80136,163.48839,
816918913,810397394,999354553,Y,N,N,L32.SVG,R,999354553,810397394,THA,GMS_TH.SVG,SON_A,13.67747,100.60409,N,N/A,N,N,170.80136,172.89926,
806943366,810399480,718661569,N,N,Y,L32.SVG,R,718661569,810399480,THA,GMS_TH.SVG,SON_A,13.77022,100.60461,N,N/A,N,N,39.93914,46.65623,
806943366,810399480,799617210,Y,N,N,L32.SVG,L,799617210,810399480,THA,GMS_TH.SVG,SON_A,13.77022,100.60461,N,N/A,N,N,39.93914,30.5275,
812367716,810400600,799460389,Y,N,N,L22.SVG,L,799460389,-2,THA,GMS_TH.SVG,SON_A,13.65796,100.66764,N,N/A,N,N,125.27961,111.59401,
812367716,810400600,877950406,N,N,Y,L22.SVG,R,877950406,-2,THA,GMS_TH.SVG,SON_A,13.65796,100.66764,N,N/A,N,N,125.27961,127.66183,
818567157,810446310,735361528,Y,N,N,L21.SVG,L,735361528,810446310,THA,GMS_TH.SVG,SON_A,13.78385,100.68723,N,N/A,N,N,328.78889,304.46709,
818567157,810446310,755557783,Y,N,N,L21.SVG,R,755557783,810446310,THA,GMS_TH.SVG,SON_A,13.78385,100.68723,N,N/A,N,N,328.78889,327.73662,
870426997,810448278,808968058,N,Y,Y,B35.SVG,R,808968058,810448278,THA,GMS_TH.SVG,EXIT_A_R,13.65848,100.66635,N,N/A,N,N,299.85253,299.99796,
870426997,810448278,810400598,Y,Y,N,B35.SVG,L,810400598,810448278,THA,GMS_TH.SVG,EXIT_A_L,13.65848,100.66635,N,N/A,N,N,299.85253,261.63662,
863237723,810448282,848737722,N,Y,N,B11.SVG,R,848737722,-1,THA,GMS_TH.SVG,EXIT_A_R,13.64958,100.68367,N,N/A,N,N,109.39448,121.69275,
863237723,810448282,848737723,N,Y,N,B11.SVG,L,848737723,-1,THA,GMS_TH.SVG,EXIT_A_L,13.64958,100.68367,N,N/A,N,N,109.39448,100.2927,
812648350,810454871,799458242,Y,Y,Y,B41LB22.SVG,R,799458242,810454871,THA,GMS_TH.SVG,EXIT_A_R,13.65439,100.69043,Y,N,N/A,N/A,207.8123,218.27131,863237717
812648350,810454871,799458244,Y,Y,N,B41LB22.SVG,L,799458244,799458245,THA,GMS_TH.SVG,EXIT_A_L,13.65274,100.68932,Y,N,N/A,N/A,207.8123,206.74191,863237717
812648350,810454871,828241058,N,Y,Y,B41LB22.SVG,M,828241058,799458245,THA,GMS_TH.SVG,EXIT_A_R,13.65274,100.68932,Y,N,N/A,N/A,207.8123,206.74191,863237717
816403666,810457198,732180501,N,Y,N,B32.SVG,L,732180501,810457198,THA,GMS_TH.SVG,EXIT_A_L,13.84721,100.63796,N,N/A,N,N,27.20433,18.37454,
816403666,810457198,818667369,Y,Y,N,B32.SVG,R,818667369,810457198,THA,GMS_TH.SVG,EXIT_A_R,13.84721,100.63796,N,N/A,N,N,27.20433,37.54796,
806949401,810466792,718686084,N,N,N,B34LB12.SVG,R,-1,810466792,THA,GMS_TH.SVG,,13.85232,100.63739,Y,Y,N/A,N/A,114.94504,122.87234,862709776
806949401,810466792,798633647,Y,N,N,B34LB12.SVG,M,-1,-1,THA,GMS_TH.SVG,,13.85251,100.63893,Y,Y,N/A,N/A,114.94504,106.08686,862709776
806949401,810466792,827057487,Y,N,N,B34LB12.SVG,L,827057487,-1,THA,GMS_TH.SVG,SON_A,13.85251,100.63893,Y,Y,N/A,N/A,114.94504,106.08686,862709776
862709776,810466795,798633647,Y,N,N,L21.SVG,R,-1,-1,THA,GMS_TH.SVG,,13.85251,100.63893,N,N/A,N,N,62.7525,61.26825,
862709776,810466795,827057487,Y,N,N,L21.SVG,L,827057487,-1,THA,GMS_TH.SVG,SON_A,13.85251,100.63893,N,N/A,N,N,62.7525,46.75943,
864645014,810477228,801223220,N,Y,Y,B43LB22.SVG,R,-1,810477228,THA,GMS_TH.SVG,,13.64229,100.68081,Y,N,N/A,N/A,31.09746,41.54221,864657210
864645014,810477228,801241604,N,Y,Y,B42RR21.SVG,L,-1,810477228,THA,GMS_TH.SVG,,13.64229,100.68081,Y,N,N/A,N/A,31.09746,23.61992,864645015
864645014,810477228,801249879,N,N,Y,B42RR21.SVG,M,-1,801223219,THA,GMS_TH.SVG,,13.64346,100.68178,Y,N,N/A,N/A,31.09746,41.54221,864645015
864645014,810477228,810477229,Y,Y,N,B43LB22.SVG,L,810477229,801241604,THA,GMS_TH.SVG,EXIT_A_L,13.64269,100.68099,Y,N,N/A,N/A,31.09746,23.61992,864657210
864645014,810477228,810477235,N,Y,Y,B43LB22.SVG,M,810477235,801241604,THA,GMS_TH.SVG,EXIT_A_R,13.64269,100.68099,Y,N,N/A,N/A,31.09746,23.61992,864657210
