#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three
151;Y;5;3;6;2;null;9987;0;20306;0;0;0
253;Y;6;1;65;2;null;3578;0;9144;0;0;0
303;Y;6;2;47;2;null;6000;0;7312;0;0;0
220;Y;6;1;32;2;null;3578;0;7264;0;0;0
53;N;1;21;8;2;null;9996;0;0;0;0;0
131;Y;5;2;17;2;null;9537;0;5996;0;0;0
234;Y;6;1;46;2;null;3578;0;7294;0;0;0
249;Y;6;1;61;2;null;3578;0;7324;0;0;0
40;Y;1;19;4;2;null;5800;0;1566;85;0;0
71;Y;2;9;2;2;null;7510;0;443;0;0;0
148;Y;5;3;3;2;null;9987;0;3920;0;0;0
228;Y;6;1;40;2;null;3578;0;7280;0;0;0
257;N;6;2;1;2;0;0;0;0;0;0;0
94;N;4;9;0;1;null;0;0;0;0;0;0
206;Y;6;1;18;2;null;3578;0;7235;0;0;0
14;N;1;13;0;1;null;5800;0;0;51;0;0
23;Y;1;15;7;2;null;5800;0;10048;58;0;0
193;Y;6;1;5;2;null;3578;0;2529;0;0;0
70;N;2;9;1;2;0;0;0;0;0;0;0
219;Y;6;1;31;2;null;3578;0;7263;0;0;0
49;Y;1;21;4;2;null;9996;0;1523;0;0;0
195;Y;6;1;7;2;null;3578;0;3060;0;0;0
