#gen_0;gen_1;gen_2;level;genre_is_brand;importance;genre_type;org_code1;org_code2;chaincode;genre_id
4;2;79;2;Y;;null;120101;;1007;1154
4;3;115;2;Y;;null;120102;;4068;1244
1;5;76;2;Y;;null;110101;;3050;386
1;5;224;2;Y;;null;110101;;3464;326
2;14;20;2;Y;;null;130406;;227C;848
9;4;39;2;Y;;null;150101;;603D;1538
2;4;49;2;Y;;null;130106;;2231;658
1;4;17;2;Y;;null;110102;;332A;213
7;5;5;2;N;;null;230114;;;1660
1;5;156;2;Y;;null;110101;;306E;264
1;2;103;2;Y;;null;110200;;2FDD;48
2;3;4;2;Y;;null;130102;;3614;545
6;6;3;2;Y;;null;170109;;7012;1433
2;15;6;2;Y;;null;130405;;226A;898
7;4;9;2;Y;;null;210302;;2FFA;1456
1;5;2;2;Y;;null;110101;;3120;357
2;3;6;2;Y;;null;130102;;2F2B;593
2;13;18;2;Y;;null;130501;;2FAF;825
4;2;201;2;Y;;null;120101;;10E6;1144
1;4;31;2;Y;;null;110102;;3405;146
9;8;0;1;N;;null;160105;;;1629
4;3;93;2;Y;;null;120102;;1068;1293
4;3;98;2;Y;;null;120102;;351B;1357
1;4;32;2;Y;;null;110102;;3365;157
4;2;34;2;Y;;null;120101;;4100;1214
1;3;15;2;Y;;null;110103;;303E;136
1;5;20;2;Y;;null;110101;;3352;435
1;5;216;2;Y;;null;110101;;336C;222
1;4;71;2;Y;;null;110102;;311B;159
1;8;4;2;Y;;null;110302;;3057;474
2;15;32;2;Y;;null;130405;;2260;871
2;4;33;2;Y;;null;130106;;2234;615
1;4;34;2;Y;;null;110102;;341A;188
4;2;93;2;Y;;null;120101;;4117;1177
1;2;25;2;Y;;null;110200;;3410;119
4;2;205;2;Y;;null;120101;;1057;1107
1;4;45;2;Y;;null;110102;;3367;145
4;2;109;2;Y;;null;120101;;405B;1109
2;6;9;2;Y;;null;130301;;34D0;724
5;9;3;2;Y;;null;180209;;2248;1389
4;3;131;2;Y;;null;120102;;34FE;1337
2;6;11;2;Y;;null;130301;;2278;745
2;4;73;2;Y;;null;130106;;2F41;636
1;5;55;2;Y;;null;110101;;3312;330
4;3;90;2;Y;;null;120102;;1032;1350
2;3;51;2;Y;;null;130102;;2F2C;534
