#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;name;genre_type;org_code;series;lang;filename
212;N;6;12;0;1;診所;null;305000;;CHT;
213;N;6;13;0;1;安養設施;null;305100;;CHT;
214;N;6;14;0;1;金融機關;null;306800;;CHT;
215;N;6;15;0;1;銀行;null;0;;CHT;
216;N;6;15;1;2;所有銀行;0;0;;CHT;
217;Y;6;15;2;2;安泰銀行;null;307100;安泰銀行;CHT;
218;Y;6;15;3;2;永豐商業銀行;null;307100;永豐商業銀行;CHT;
219;Y;6;15;4;2;遠東商銀;null;307100;遠東商銀;CHT;
220;Y;6;15;5;2;花旗（台灣）銀行;null;307100;花旗（台灣）銀行;CHT;
221;Y;6;15;6;2;華泰銀行;null;307100;華泰銀行;CHT;
222;Y;6;15;7;2;華南銀行;null;307100;華南銀行;CHT;
223;Y;6;15;8;2;京城商銀;null;307100;京城商銀;CHT;
224;Y;6;15;9;2;玉山銀行;null;307100;玉山銀行;CHT;
225;Y;6;15;10;2;元大銀行;null;307100;元大銀行;CHT;
226;Y;6;15;11;2;高雄銀行;null;307100;高雄銀行;CHT;
227;Y;6;15;12;2;合作金庫商業銀行;null;307100;合作金庫商業銀行;CHT;
228;Y;6;15;13;2;三信商銀;null;307100;三信商銀;CHT;
229;Y;6;15;14;2;彰化銀行;null;307100;彰化銀行;CHT;
230;Y;6;15;15;2;上海銀行;null;307100;上海銀行;CHT;
231;Y;6;15;16;2;新光銀行;null;307100;新光銀行;CHT;
232;Y;6;15;17;2;瑞興商業銀行;null;307100;瑞興商業銀行;CHT;
233;Y;6;15;18;2;星展銀行;null;307100;星展銀行;CHT;
234;Y;6;15;19;2;台新銀行;null;307100;台新銀行;CHT;
235;Y;6;15;20;2;台中銀行;null;307100;台中銀行;CHT;
236;Y;6;15;21;2;台北富邦銀行;null;307100;台北富邦銀行;CHT;
237;Y;6;15;22;2;台灣企銀;null;307100;台灣企銀;CHT;
238;Y;6;15;23;2;台灣銀行;null;307100;台灣銀行;CHT;
239;Y;6;15;24;2;大眾銀行;null;307100;大眾銀行;CHT;
240;Y;6;15;25;2;第一銀行;null;307100;第一銀行;CHT;
241;Y;6;15;26;2;中華開發工業銀行;null;307100;中華開發工業銀行;CHT;
242;Y;6;15;27;2;中國信託商銀;null;307100;中國信託商銀;CHT;
243;Y;6;15;28;2;兆豐國際商業銀行;null;307100;兆豐國際商業銀行;CHT;
244;Y;6;15;29;2;土地銀行;null;307100;土地銀行;CHT;
245;Y;6;15;30;2;日盛國際商業銀行;null;307100;日盛國際商業銀行;CHT;
246;Y;6;15;31;2;板信商銀;null;307100;板信商銀;CHT;
247;Y;6;15;32;2;陽信商銀;null;307100;陽信商銀;CHT;
248;Y;6;15;33;2;聯邦銀行;null;307100;聯邦銀行;CHT;
