#per_code;is_brand;gen1;gen2;gen3;level;code_name;genre_type;org_code;series;poi_name;filename
174;N;5;3;7;2;農會超市;;307000;農會超市;;TWCP02901A_16A.bmp
175;N;5;3;8;2;美廉社;;307000;美廉社;;TWLG00701A_16A.bmp
176;N;5;3;9;2;其它超級市場．量販店;;307000;;;TWLG00701A_16A.bmp
177;N;5;4;0;1;市場．夜市;;307400;;;TWLG01101A_16A.bmp
178;N;5;5;0;1;大型文具書店;;0;;;
179;N;5;5;1;2;所有大型文具書店;0;0;;;
180;N;5;5;2;2;１０１文具天堂;;307700;１０１文具天堂;;TWLG00901A_16A.bmp
181;N;5;5;3;2;金玉堂文具批發廣場;;307700;金玉堂文具批發廣場;;TWCP08601A_16A.bmp
182;N;5;5;4;2;金石堂文化廣場;;307700;金石堂文化廣場;;TWCP05001A_16A.bmp
183;N;5;5;5;2;其它大型文具書店;;307700;;;TWLG00901A_16A.bmp
184;N;5;6;0;1;專賣街;;308700;;;TWLG01201A_16A.bmp
185;N;5;7;0;1;其它商業設施;;0;;;
186;N;5;7;1;2;所有商業設施;0;0;;;
187;N;5;7;2;2;３Ｃ家電;;308000;３Ｃ家電;;TWLG00501A_16A.bmp
188;N;5;7;3;2;ｅＣｏｓｗａｙ;;308000;ｅＣｏｓｗａｙ;;TWLG00501A_16A.bmp
189;N;5;7;4;2;ＧＩＡＮＴ;;308000;ＧＩＡＮＴ;;TWLG00501A_16A.bmp
190;N;5;7;5;2;Ｍｉｓｔｅｒ　Ｄｏｎｕｔ;;308000;Ｍｉｓｔｅｒ　Ｄｏｎｕｔ;;TWLG00501A_16A.bmp
191;N;5;7;6;2;Ｙａｍａｚａｋｉ;;308000;Ｙａｍａｚａｋｉ;;TWLG00501A_16A.bmp
192;N;5;7;7;2;格上租車;;308000;格上租車;;TWLG00501A_16A.bmp
193;N;5;7;8;2;燦坤３Ｃ;;308000;燦坤３Ｃ;;TWCP02603A_16A.bmp
194;N;5;7;9;2;全國電子;;308000;全國電子;;TWCP02701A_16A.bmp
195;N;5;7;10;2;台灣菸酒公司;;308000;台灣菸酒公司;;TWLG00501A_16A.bmp
196;N;5;7;11;2;大同３Ｃ;;308000;大同３Ｃ;;TWCP08901A_16A.bmp
197;N;5;7;12;2;無毒的家;;308000;無毒的家;;TWLG00501A_16A.bmp
198;N;5;7;13;2;和運租車;;308000;和運租車;;TWLG00501A_16A.bmp
199;N;5;7;14;2;其它商業設施;;308000;;;TWLG00501A_16A.bmp
200;N;6;0;0;0;社區;;0;;;
201;N;6;1;0;1;中央機關;;300100;;;TWLG03901A_16A.bmp
202;N;6;2;0;1;直轄市．省機關;;300200;;;TWLG04001A_16A.bmp
203;N;6;3;0;1;省轄市區鄉鎮市機關;;300300;;;TWLG04101A_16A.bmp
204;N;6;4;0;1;警察局;;300500;;;TWLG03301A_16A.bmp
205;N;6;5;0;1;消防隊;;300600;;;TWLG04201A_16A.bmp
206;N;6;6;0;1;郵局;;300700;;;TWCP06801A_16A.bmp
207;N;6;7;0;1;法院;;301100;;;TWLG03801A_16A.bmp
208;N;6;8;0;1;交通裁決所．監理所;;301200;;;TWLG04401A_16A.bmp
209;N;6;9;0;1;學校;;0;;;
210;N;6;9;1;2;所有學校;0;0;;;
211;N;6;9;2;2;幼兒園;;302700;;;TWLG08601A_16A.bmp
212;N;6;9;3;2;國小;;302600;;;TWLG08501A_16A.bmp
213;N;6;9;4;2;國中;;302500;;;TWLG08401A_16A.bmp
