2016-01-21 10:45:43,200 - INFO: proj_rdf_module----start to process rdf_ase original data.
2016-01-21 10:45:43,200 - INFO: spotguide_tbl----Start make spotguide_tbl.
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 734532505,outlink = 734532509 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 966634370,outlink = 810263191 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 777357279,outlink = 777281648 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 735224452,outlink = 735008660 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 751873343,outlink = 810122058 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 983380109,outlink = 867039451 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 1088504826,outlink = 808993760 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 838066708,outlink = 718710376 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 116176526,outlink = 116166887 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 932659897,outlink = 932659898 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 1104160676,outlink = 830186592 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 983428001,outlink = 908157473 pathlink is null
2016-01-21 10:46:01,579 - WARNING: spotguide_tbl----inlink = 906752210,outlink = 925708690 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 865478203,outlink = 914416535 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 1038928546,outlink = 1053645554 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 998888747,outlink = 998642823 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 751871519,outlink = 751911159 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 816557856,outlink = 776795505 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 867488168,outlink = 752187658 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 867191507,outlink = 866807071 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 845931483,outlink = 818564202 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 906779046,outlink = 906779343 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 781556897,outlink = 778808133 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 752048036,outlink = 883695840 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 1060137317,outlink = 1103438324 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 821054708,outlink = 808979113 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 867473124,outlink = 871827861 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 945991616,outlink = 961788404 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 802958246,outlink = 827504657 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 927025229,outlink = 777579450 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 821137911,outlink = 751930008 pathlink is null
2016-01-21 10:46:01,595 - WARNING: spotguide_tbl----inlink = 750222824,outlink = 827193005 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 891774017,outlink = 759431496 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 1042078887,outlink = 855236499 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 776861950,outlink = 815762919 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 833428264,outlink = 833271675 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 873595342,outlink = 1046737537 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 806984682,outlink = 1057562966 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 901226963,outlink = 859273414 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 806958921,outlink = 806958922 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 752028113,outlink = 752141088 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 930506796,outlink = 792361918 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 783864774,outlink = 783864773 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 752002732,outlink = 842267829 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 932646584,outlink = 1066078524 pathlink is null
