lonlat;field;value
'MULTILINESTRING((110.45716 1.45752,110.45758 1.45727,110.45785 1.45719,110.45816 1.45717,110.45939 1.45719,110.45996 1.4572,110.46055 1.45722,110.46116 1.45725,110.46157 1.45729,110.46199 1.45734,110.4624 1.45741,110.4628 1.45749,110.46318 1.45757,110.46353 1.45766,110.46408 1.4578,110.46482 1.45804,110.46557 1.45831,110.46736 1.45898,110.46791 1.45919,110.46868 1.45951,110.4691 1.45972,110.46958 1.46,110.47045 1.46057,110.47151 1.46126,110.47275 1.46211,110.47303 1.46233,110.47346 1.4627,110.47399 1.46321,110.47449 1.46369,110.47473 1.46394,110.47496 1.46418,110.47518 1.46443,110.47537 1.46467,110.47542 1.46478))';one_way;1
'MULTILINESTRING((111.84212 2.295,111.8423 2.29513))';one_way;1
'MULTILINESTRING((111.8423 2.29513,111.84282 2.29556,111.84539 2.29756))';one_way;1
'MULTILINESTRING((111.84539 2.29756,111.84584 2.29793))';one_way;1
'MULTILINESTRING((111.84584 2.29793,111.84595 2.29801,111.84648 2.29846,111.84687 2.29872,111.84709 2.29885,111.84764 2.29918,111.84867 2.29976,111.84945 2.30021))';one_way;1
'MULTILINESTRING((111.84945 2.30021,111.84963 2.30031,111.85037 2.30073))';one_way;1
'MULTILINESTRING((111.85037 2.30073,111.85073 2.30097))';one_way;1
'MULTILINESTRING((111.85073 2.30097,111.85084 2.30104))';one_way;1
'MULTILINESTRING((111.85084 2.30104,111.85092 2.30109))';one_way;1
'MULTILINESTRING((111.85092 2.30109,111.85139 2.30131))';one_way;1
'MULTILINESTRING((111.85139 2.30131,111.85166 2.30144,111.85221 2.30166))';one_way;1
'MULTILINESTRING((113.04816 3.18877,113.04811 3.18891,113.04798 3.18902,113.04763 3.18927,113.04692 3.18965,113.04653 3.18989))';one_way;1
'MULTILINESTRING((113.04653 3.18989,113.04605 3.19019,113.04568 3.19041,113.04541 3.19057))';one_way;1
'MULTILINESTRING((113.04541 3.19057,113.04508 3.19078))';one_way;1
'MULTILINESTRING((113.04508 3.19078,113.04499 3.19088,113.04486 3.19099,113.04448 3.19145,113.04412 3.19197))';one_way;1
'MULTILINESTRING((111.83083 2.31313,111.83101 2.31333,111.8312 2.31351,111.83142 2.31397))';one_way;1
'MULTILINESTRING((111.83142 2.31397,111.83151 2.31415))';one_way;1
